Naslov	Autor(i)	Godina izdanja	Naklada	Mjesto	ISBN	ADIP-broj	Jezik	Stanje (1-5)		Stanje	
Die Meteore	Hoffmeister, C.	1937	Akademische Verlagsgesellschaft	Leipzig	-	440	Njemački	4			
Entdeckung des Planeten Neptun	Grosser, Morton	1970	Harvard University Press	-	-	438	Njemački	5			
Meteorologisches Taschenbuch	Linke, Franz	-	Akademische Verlagsgesellschaft Becker & Erler	Leipzig	-	437	Njemački	3			
Physikalische Grundlagen der Naturwissenschaften	Exner, Franz	1919	Franz Deuticke	Wien	-	442	Njemački	3			
Populäre Astrophysik	Graff, Kasimir	1922	B. G. Teubner	Leipzig	-	446	Njemački	3			
Astronomie für Alle	Henseling, Robert	1929	Franckh’sche Verlagshandlung	Stuttgart	-	447	Njemački	4			
Die Kleinwelt des Sonnensystems: Meteorite, Feuerkugeln und Sternschnuppen	Henseling, Robert	1929	Franckh’sche Verlagshandlung	Stuttgart	-	448	Njemački	4			
Jena: Ursprung und Sitz der Carl-Zeiss-Stiftung	Biermann, Wolfgang / Abicht, Joachim	1980	Carl Zeiss Jena	-	-	453	Njemački	5			
Publikationen des Astrophysikalischen Observatoriums zu Potsdam	Hassenstein, Walter	1927	-	-	-	427	Njemački	5			
Falkauer Atlas: Photographischer Sternatlas	Vehrenberg, Hans	1985	Treugessel	Düsseldorf	-	451	Njemački	5			
Der neu entdeckte Himmel	Henseling, Robert	1950	Deutsche Buch-Gemeinschaft	Berlin	-	450	Njemački	5			
Populäre Astronomie	Newcomb, Simon / Engelmann, Rudolf	1922	Wilhelm Engelmann	Leipzig	-	449	Njemački	4			
Lehrbuch der Physik	Chwolson, O. D.	1902	Friedr. Vieweg & Sohn	Braunschweig	-	426	Njemački	2			
Ebene und spharische Trigonometrie	Hessenberg, G.	1904	G.J. Guscgen'sche Verlag	Leipzig		289	Njemački	4			
Le Stelle Nel Loro Corso	jeans, J.	1934	Fratelli Treves Editori	Milano		288	Talijanski	4			
Astronomia e Geodesia	Armellini, G.	1941	Valentino Bompiani			289	Talijanski	4			
Da Mercurio a Plutone	Humbert, P	1940	Valentino Bompiani			256	Talijanski	4			
Planeti e Satelliti	kaiser, H.	1969	La scuola Editrice	Brescia		255	Talijanski	4			
Atlante di Astronomia	Hermman, J	1972	Arnoldo Mondadori Editore	Milano		304	Talijanski	2			
Effermeridi Astronomische ad use dei naviganti	instituto idrografico Della Marina	1946	instituto idrografico Della Marina	Genova		299	Talijanski	4			
Lezioni di Astrofisica	Abrami, A.	1963	Itergrafia	Trieste		297	Talijanski	4			
Galileo Galilei nella Storia e nella Legenda	Carotenuto, S.						Talijanski	1			
